Pathways	Compounds_of_pathway	Enzymes_of_pathway	Genes_of_pathway	Reactions_of_pathway	Reactants_of_pathway	Products_of_pathway	Ontology_parents_of_class
PWY-6035	CPD-591 // CPD-7630 // PELARGONIDIN-CMPD // CPD-10413 // PROTON // NADPH // CPD-7090 // CPD-10411 // NADP	AT1G61720-MONOMER	AT1G61720	RXN-9723 // RXN-9724 // RXN-9725	CPD-10411 // NADP // CPD-10413 // CPD-7630	CPD-7090 // NADPH // PROTON // PELARGONIDIN-CMPD // CPD-591	FLAVONOL-SYN // Metabolic-Clusters
PWY-6051	CPD-10451 // CPD-10448 // CPD-10452 // CPD-10450 // CPD-9138 // CPD-10453 // CPD-10460 // CPD-10458 // Acceptor // WATER // CPD-10457 // Donor-H2 // CPD-10456 // CPD-10455 // PROTON // UDP // CPD-10449 // CPD-12575 // CPD-10447	AT4G34135-MONOMER // AT2G15490-MONOMER // AT2G15480-MONOMER // AT2G36750-MONOMER // AT2G36790-MONOMER // AT1G05680-MONOMER	AT4G34135 // AT2G15490 // AT2G15480 // AT2G36750 // AT2G36790 // AT1G05680	RXN-9752 // RXN-9751 // RXN-9750 // RXN-9749 // RXN-9748 // RXN-9747 // RXN-9746 // RXN-9745 // RXN-9744 // RXN-9743 // RXN-9742 // RXN-9741	CPD-12575 // Donor-H2 // CPD-9138	CPD-10449 // UDP // CPD-10456 // WATER // Acceptor // CPD-10458 // CPD-10460 // CPD-10452 // CPD-10448	Nitro-Toluene-Degradation
PWY-5837	PPI // AMP // ATP // O-SUCCINYLBENZOATE // CHORISMATE // CARBON-DIOXIDE // ISOCHORISMATE // 2-KETOGLUTARATE // PYRUVATE // CPD-9923 // CPD-9924 // CPD-6972 // CO-A // DIHYDROXYNAPHTHOATE // PROTON // CPD-9925 // WATER	AT1G30520-MONOMER // AT1G18870-MONOMER // AT1G74710-MONOMER // AT1G60550-MONOMER // AT1G68890-MONOMER // AT5G48950-MONOMER // AT1G48320-MONOMER	AT1G30520 // AT1G18870 // AT1G74710 // AT1G60550 // AT1G68890 // AT5G48950 // AT1G48320	RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN	2-KETOGLUTARATE // CHORISMATE // ATP	DIHYDROXYNAPHTHOATE // PYRUVATE // CARBON-DIOXIDE // AMP // PPI	DHNA-Biosynthesis
PWY-5084	CARBON-DIOXIDE // 2-KETOGLUTARATE // Oxo-glutarate-dehydro-suc-DH-lipoyl // CO-A // SUC-COA // PROTON // NADH // Oxo-glutarate-dehydrogenase-lipoyl // Oxo-glutarate-dehydrogenase-DH-lipoyl // NAD	AT3G55410-MONOMER // AT5G65750-MONOMER // AT5G55070-MONOMER // AT4G26910-MONOMER // AT4G16155-MONOMER // AT3G16950-MONOMER // AT3G17240-MONOMER	AT3G55410 // AT5G65750 // AT5G55070 // AT4G26910 // AT4G16155 // AT3G16950 // AT3G17240	RXN-7716 // RXN0-1147 // 2OXOGLUTDECARB-RXN	NAD // CO-A // 2-KETOGLUTARATE	NADH // SUC-COA // CARBON-DIOXIDE	Respiration
PWY-5046	CARBON-DIOXIDE // 2-KETO-ISOVALERATE // CO-A // BCAA-dehydrogenase-2MP-DH-lipoyl // ISOBUTYRYL-COA // PROTON // NADH // BCAA-dehydrogenase-lipoyl // BCAA-dehydrogenase-DH-lipoyl // NAD	AT1G48030-MONOMER // AT1G55510-MONOMER // MONOMERQT-9600 // AT5G59440-MONOMER // AT3G06850-MONOMER // AT4G16155-MONOMER // AT3G16950-MONOMER // AT3G17240-MONOMER // CPLXQT-2	AT1G48030 // AT1G55510 // AT1G21400 // AT5G59440 // AT4G16155 // AT3G16950 // AT3G13450 // AT5G09300 // AT3G06850 // AT3G17240	RXN-7719 // 2.3.1.168-RXN // 1.2.4.4-RXN	NAD // CO-A // 2-KETO-ISOVALERATE	NADH // ISOBUTYRYL-COA // CARBON-DIOXIDE	Respiration
PWY-6424	CPD-12160 // CPD-12161 // METHYL-GROUP // ADENOSYL-HOMO-CYS // CPD-12162 // S-ADENOSYLMETHIONINE // CPD-12159 // METOH // PROTON	CPLX-4562	AT1G20330	RXN-11203 // RXN-11202 // RXN-11201	S-ADENOSYLMETHIONINE // CPD-12159 // METOH // PROTON	CPD-12162 // ADENOSYL-HOMO-CYS // METHYL-GROUP // CPD-12161 // CPD-12160	Sterol-Biosynthesis
CHLOROPHYLL-SYN	HYDROGEN-PEROXIDE // UROPORPHYRINOGEN-III // ADP // Pi // ATP // PROTOPORPHYRIN_IX // MG+2 // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // MG-PROTOPORPHYRIN // CARBON-DIOXIDE // PROTOPORPHYRINOGEN // COPROPORPHYRINOGEN_III // 131-OXO-MAGNESIUM-PROTOPORPHYRIN-IX-13-M // WATER // 13-HYDROXY-MAGNESIUM-PROTOPORP // MG-PROTOPORPHYRIN-MONOMETHYL-ESTER // OXYGEN-MOLECULE // Light // PROTON // NADPH // DIVINYL-PROTOCHLOROPHYLLIDE-A // NADP // DIVINYLCHLOROPHYLLIDE-A	AT4G01690-MONOMER // MONOMERQT-7980 // AT2G40490-MONOMER // AT3G14930-MONOMER // CPLX1F-80 // CPLX1F-78 // AT4G18480-MONOMER // AT5G13630-MONOMER // AT4G25080-MONOMER // AT1G03475-MONOMER // AT4G03205-MONOMER // AT3G56940-MONOMER // AT5G58250-MONOMER // AT1G03630-MONOMER // AT4G27440-MONOMER // AT5G54190-MONOMER	AT4G01690 // AT5G14220 // AT2G40490 // AT3G14930 // AT5G45930 // AT1G08520 // AT4G18480 // AT5G13630 // AT4G25080 // AT1G03475 // AT4G03205 // AT3G56940 // AT5G58250 // AT1G03630 // AT4G27440 // AT5G54190	RXN-5285 // RXN-5282 // RXN-5283 // RXN-5284 // RXN0-1461 // RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN // RXN1F-20 // UROGENDECARBOX-RXN // PROTOPORGENOXI-RXN	NADPH // Light // OXYGEN-MOLECULE // S-ADENOSYLMETHIONINE // ATP // MG+2 // UROPORPHYRINOGEN-III	NADP // DIVINYLCHLOROPHYLLIDE-A // CARBON-DIOXIDE // ADENOSYL-HOMO-CYS // Pi // ADP // HYDROGEN-PEROXIDE	Chlorophyllide-a-Biosynthesis
PWY-6164	DEHYDROQUINATE // Pi // 3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P // PHOSPHO-ENOL-PYRUVATE // ERYTHROSE-4P // WATER	AT5G66120-MONOMER // AT4G39980-MONOMER // AT4G33510-MONOMER // AT1G22410-MONOMER	AT5G66120 // AT4G39980 // AT4G33510 // AT1G22410	DAHPSYN-RXN // 3-DEHYDROQUINATE-SYNTHASE-RXN	PHOSPHO-ENOL-PYRUVATE // ERYTHROSE-4P // WATER	Pi // DEHYDROQUINATE	3-Dehydroquinate-Biosynthesis
PWY-6352	CMP // CDPDIACYLGLYCEROL // MYO-INOSITOL // 1-PHOSPHATIDYL-1D-MYO-INOSITOL-34-BISPH // CPD-1108 // PHOSPHATIDYLINOSITOL-345-TRIPHOSPHATE // PHOSPHATIDYL-MYO-INOSITOL-45-BISPHOSPHA // L-1-phosphatidyl-inositols // PROTON // ADP // ATP // Pi // CPD-177 // 1-PHOSPHATIDYL-1D-MYO-INOSITOL-35-BISPH // WATER	AT1G49340-MONOMER // AT5G64070-MONOMER // AT5G09350-MONOMER // AT1G51040-MONOMER // MONOMERQT-7878 // MONOMERQT-8460 // AT3G43950-MONOMER // MONOMERQT-8863 // AT2G40850-MONOMER // MONOMERQT-9198 // AT1G67635-MONOMER // AT1G64460-MONOMER // MONOMERQT-9573 // AT1G27535-MONOMER // AT1G26270-MONOMER // MONOMERQT-9646 // CPLX-1505 // AT4G38570-MONOMER // AT4G01190-MONOMER // AT3G56960-MONOMER // AT2G26420-MONOMER // AT3G09920-MONOMER // AT3G07960-MONOMER // AT2G41210-MONOMER // AT1G21980-MONOMER // AT1G10900-MONOMER // AT1G77740-MONOMER // AT1G60890-MONOMER // AT1G01460-MONOMER // AT4G17080-MONOMER // AT2G35170-MONOMER // AT1G77660-MONOMER // AT1G75010-MONOMER // MONOMERQT-9594 // AT1G60490-MONOMER // MONOMERQT-9013 // AT3G48190-MONOMER // AT3G14270-MONOMER // AT4G33240-MONOMER // AT1G34260-MONOMER // AT1G71010-MONOMER // AT1G17340-MONOMER // AT1G22620-MONOMER // AT3G14205-MONOMER // AT3G43220-MONOMER // AT5G20840-MONOMER // AT1G47510-MONOMER // MONOMERQT-8431	AT1G49340 // AT5G64070 // AT5G09350 // AT1G51040 // AT5G24240 // AT3G56600 // AT3G43950 // AT2G46500 // AT2G40850 // AT2G03890 // AT1G67635 // AT1G64460 // AT1G27570 // AT1G27535 // AT1G26270 // AT1G13640 // AT1G68000 // AT4G38570 // AT4G01190 // AT3G56960 // AT2G26420 // AT3G09920 // AT3G07960 // AT2G41210 // AT1G21980 // AT1G10900 // AT1G77740 // AT1G60890 // AT1G01460 // AT4G17080 // AT2G35170 // AT1G77660 // AT1G75010 // AT1G21920 // AT1G60490 // AT2G32760 // AT3G48190 // AT3G14270 // AT4G33240 // AT1G34260 // AT1G71010 // AT1G17340 // AT1G22620 // AT3G14205 // AT3G43220 // AT5G20840 // AT1G47510 // AT3G59770	RXN-10938 // 2.7.1.150-RXN // 1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN // 2.7.1.153-RXN // 2.7.1.68-RXN // 2.7.1.154-RXN // 2.7.8.11-RXN // 1-PHOSPHATIDYLINOSITOL-KINASE-RXN	WATER // ATP // CDPDIACYLGLYCEROL // MYO-INOSITOL	Pi // ADP // PROTON // PHOSPHATIDYLINOSITOL-345-TRIPHOSPHATE // 1-PHOSPHATIDYL-1D-MYO-INOSITOL-34-BISPH // CMP	Phospholipid-Biosynthesis
PWY-6890	ADP // AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP // ATP // PROTON // CARBON-MONOXIDE // FORMATE // MET // CH33ADO // AMINO-HYDROXYMETHYL-METHYL-PYR-P // S-ADENOSYLMETHIONINE // 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE	AT1G22940-MONOMER // AT2G29630-MONOMER	AT1G22940 // AT2G29630	PYRIMSYN1-RXN // PYRIMSYN3-RXN	S-ADENOSYLMETHIONINE // 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE // ATP	CH33ADO // MET // FORMATE // CARBON-MONOXIDE // PROTON // AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP // ADP	HMP-PP-Biosynthesis
PWY-6543	GLT // GLN // CHORISMATE // PYRUVATE // P-AMINO-BENZOATE // PROTON // 4-AMINO-4-DEOXYCHORISMATE	AT2G28880-MONOMER // AT5G57850-MONOMER // MONOMERQT-8482	AT2G28880 // AT5G57850 // AT3G54970	ADCLY-RXN // PABASYN-RXN	GLN // CHORISMATE	PROTON // P-AMINO-BENZOATE // PYRUVATE // GLT	Folate-Biosynthesis
PWY-6535	GLT // 2-KETOGLUTARATE // 4-AMINO-BUTYRATE // SUC // NADH // PROTON // WATER // NAD // SUCC-S-ALD	CPLXQT-29 // CPLX-6121	AT3G22200 // AT1G79440	SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // GABATRANSAM-RXN	WATER // NAD // 2-KETOGLUTARATE // 4-AMINO-BUTYRATE	PROTON // NADH // SUC // GLT	4-Aminobutyraye-Degradation
PWY-6473	L-ALPHA-ALANINE // 4-AMINO-BUTYRATE // PYRUVATE // SUC // NADH // PROTON // WATER // NAD // SUCC-S-ALD	CPLXQT-29 // CPLX-6121	AT3G22200 // AT1G79440	SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // RXN-6902	WATER // NAD // 4-AMINO-BUTYRATE // PYRUVATE	PROTON // NADH // SUC // L-ALPHA-ALANINE	4-Aminobutyraye-Degradation
PWY-8024	HYDROGEN-PEROXIDE // CPD-21649 // CPD-21650 // TRP // CPD-13026 // CARBON-DIOXIDE // PROTON // CPD-13027 // INDOLE-3-ACETALDOXIME // CPD-13028 // Ox-NADPH-Hemoprotein-Reductases // WATER // CPD-21441 // INDOLEYL-CPD // OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases	AT1G26380-MONOMER // AT4G31970-MONOMER // CPLX-2281 // CPLX-1523 // AT1G58265-MONOMER	AT1G26380 // AT4G31970 // AT2G22330 // AT4G39950 // AT1G58265	RXN-19839 // RXN-19841 // RXN-19840 // RXN-12063 // RXN-12062 // RXN-12061 // RXN-20040 // RXN-20042	OXYGEN-MOLECULE // Red-NADPH-Hemoprotein-Reductases // TRP	WATER // Ox-NADPH-Hemoprotein-Reductases // CARBON-DIOXIDE // CPD-21649 // HYDROGEN-PEROXIDE	N-CONTAINING-SECONDARY-CMPD-SYN
PWY-5886	P-HYDROXY-PHENYLPYRUVATE // GLT // TYR // 2-KETOGLUTARATE	AT5G51690-MONOMER // AT5G53970-MONOMER // AT1G70560-MONOMER // AT5G36160-MONOMER // AT1G80360-MONOMER	AT5G51690 // AT5G53970 // AT1G70560 // AT5G36160 // AT1G80360	TYROSINE-AMINOTRANSFERASE-RXN	TYR // 2-KETOGLUTARATE	GLT // P-HYDROXY-PHENYLPYRUVATE	AROMATIC-COMPOUNDS-BIOSYN
PWY-6121	PRPP // PPI // 5-P-BETA-D-RIBOSYL-AMINE // GLY // THF-GLU-N // FORMYL-THF-GLU-N // 5-PHOSPHO-RIBOSYL-GLYCINEAMIDE // GLT // 5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE // GLN // WATER // 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE // Pi // ADP // PROTON // ATP // 5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE	AT2G16570-MONOMER // AT4G34740-MONOMER // AT4G38880-MONOMER // AT1G09830-MONOMER // AT1G31220-MONOMER // AT1G74260-MONOMER // AT3G55010-MONOMER	AT2G16570 // AT4G34740 // AT4G38880 // AT1G09830 // AT1G31220 // AT1G74260 // AT3G55010	AIRS-RXN // FGAMSYN-RXN // GART-RXN // GLYRIBONUCSYN-RXN // PRPPAMIDOTRANS-RXN	ATP // GLN // WATER // FORMYL-THF-GLU-N // GLY // PRPP	PROTON // ADP // Pi // 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE // GLT // THF-GLU-N // PPI	AIR-Biosynthesis
PWY-6122	PRPP // PPI // 5-P-BETA-D-RIBOSYL-AMINE // GLY // GLT // GLN // WATER // 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE // 5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE // Pi // ADP // 5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE // PROTON // 5-PHOSPHO-RIBOSYL-GLYCINEAMIDE // FORMATE // ATP	AT2G16570-MONOMER // AT4G34740-MONOMER // AT4G38880-MONOMER // AT1G09830-MONOMER // AT1G74260-MONOMER // AT3G55010-MONOMER // AT1G31220-MONOMER	AT2G16570 // AT4G34740 // AT4G38880 // AT1G09830 // AT1G74260 // AT3G55010 // AT1G31220	GARTRANSFORMYL2-RXN // AIRS-RXN // FGAMSYN-RXN // GLYRIBONUCSYN-RXN // PRPPAMIDOTRANS-RXN	FORMATE // ATP // GLN // WATER // GLY // PRPP	PROTON // ADP // Pi // 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE // GLT // PPI	AIR-Biosynthesis
PWY-7101	CPD1F-129 // CPD-7204 // CPD-14646 // CPD-14650 // CPD-14647 // CPD-14649 // OXYGEN-MOLECULE // Donor-H2 // CPD-14652 // CPD-14651 // Acceptor // PROTON	MONOMERQT-8374 // MONOMERQT-9377 // MONOMERQT-9741 // AT2G44990-MONOMER // AT4G32810-MONOMER	AT4G01995 // AT1G64680 // AT1G03055 // AT2G44990 // AT4G32810	RXN-13645 // RXN-13644 // RXN-13643 // RXN-13642 // RXN-13641	Acceptor // OXYGEN-MOLECULE // CPD1F-129	CPD-14652 // Donor-H2 // CPD-14650 // CPD-7204	Plant-Hormone-Biosynthesis
PWY-6147	AMP // DIHYDROPTERIN-CH2OH-PP // ATP // AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE // GLYCOLALDEHYDE // Pi // DIHYDRO-NEO-PTERIN // PPI // DIHYDRONEOPTERIN-P // DIHYDRONEOPTERIN-P3 // FORMATE // PROTON // GTP // WATER	AT1G69190-MONOMER // AT4G30000-MONOMER // MONOMERQT-9138 // CPLX-7907 // AT3G21730-MONOMER // AT5G62980-MONOMER // AT1G68760-MONOMER // AT3G07270-CPLX	AT1G69190 // AT4G30000 // AT2G19180 // AT3G11750 // AT3G21730 // AT5G62980 // AT1G68760 // AT3G07270	GTP-CYCLOHYDRO-I-RXN // H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN // DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN // H2NEOPTERINALDOL-RXN // H2PTERIDINEPYROPHOSPHOKIN-RXN	GTP // WATER // ATP	PROTON // FORMATE // PPI // Pi // GLYCOLALDEHYDE // DIHYDROPTERIN-CH2OH-PP // AMP	6-HM-Dihydropterin-PP-Biosynthesis
PWY-5407	LINOLEIC_ACID // LINOLENIC_ACID // OXYGEN-MOLECULE // CPD-8677 // CPD-8682 // CPD-8678 // CPD-8683 // CPD-8681 // WATER	AT1G55020-MONOMER // AT3G22400-MONOMER	AT1G55020 // AT3G22400	RXN-8501 // RXN-8500 // RXN-8499 // RXN-8497 // RXN-8495	LINOLENIC_ACID // OXYGEN-MOLECULE // LINOLEIC_ACID	CPD-8683 // CPD-8682	FATTY-ACID-DERIVATIVE-SYN
PWY-5408	LINOLEIC_ACID // LINOLENIC_ACID // OXYGEN-MOLECULE // T-2-NONENAL-CMPD // CPD-8677 // CPD-21295 // CPD-8686 // CPD-8678	AT1G55020-MONOMER // AT3G22400-MONOMER	AT1G55020 // AT3G22400	RXN-8503 // RXN-8502 // RXN-8497 // RXN-8495	LINOLENIC_ACID // OXYGEN-MOLECULE // LINOLEIC_ACID	CPD-8686 // CPD-21295 // T-2-NONENAL-CMPD	FATTY-ACID-DERIVATIVE-SYN
