Pathways	Compounds of pathway	Enzymes of pathway	Genes of pathway	Ontology - parents of class	Reactants of pathway	Reactions of pathway
PWY-6585	CPD-7901 // CPD-14242 // 3-oxo-myristoyl-ACPs // 3-oxo-dodecanoyl-ACPs // ACP // 3-oxo-palmitoyl-ACPs // WATER // CPD-7898 // CPD-16497 // 2-UNDECANONE // CARBON-DIOXIDE // 3-OXODODECANOATE // PROTON	ZM00001D002729-MONOMER // ZM00001D042204-MONOMER	ZM00001D002729 // ZM00001D042204	Metabolic-Clusters // SECONDARY-METABOLITE-BIOSYNTHESIS	3-oxo-palmitoyl-ACPs // WATER // 3-oxo-dodecanoyl-ACPs // 3-oxo-myristoyl-ACPs	3-OXOLAURATE-DECARBOXYLASE-RXN // RXN-15283 // RXN-15282 // RXN-15281 // RXN-15280 // RXN-11669
PWY-5084	CARBON-DIOXIDE // 2-KETOGLUTARATE // Oxo-glutarate-dehydro-suc-DH-lipoyl // CO-A // SUC-COA // PROTON // NADH // Oxo-glutarate-dehydrogenase-lipoyl // Oxo-glutarate-dehydrogenase-DH-lipoyl // NAD	MONOMERDQC-49540 // MONOMERDQC-50575 // MONOMERDQC-53106 // MONOMERDQC-53347 // MONOMERDQC-53910 // ZM00001D021889-MONOMER // MONOMERDQC-45520 // MONOMERDQC-49875 // ZM00001D037554-MONOMER // MONOMERDQC-59550 // MONOMERDQC-51202 // MONOMERDQC-46883	ZM00001D047592 // ZM00001D023552 // ZM00001D025240 // ZM00001D003947 // ZM00001D036328 // ZM00001D021889 // ZM00001D025258 // ZM00001D003923 // ZM00001D037554 // ZM00001D040721 // ZM00001D009779 // ZM00001D009212	Respiration	NAD // CO-A // 2-KETOGLUTARATE	RXN-7716 // RXN0-1147 // 2OXOGLUTDECARB-RXN
PWY-5046	CARBON-DIOXIDE // 2-KETO-ISOVALERATE // CO-A // BCAA-dehydrogenase-2MP-DH-lipoyl // ISOBUTYRYL-COA // PROTON // NADH // BCAA-dehydrogenase-lipoyl // BCAA-dehydrogenase-DH-lipoyl // NAD	ZM00001D006928-MONOMER // MONOMERDQC-51935 // ZM00001D020290-MONOMER // MONOMERDQC-58253 // MONOMERDQC-55439 // ZM00001D037554-MONOMER // MONOMERDQC-59550 // MONOMERDQC-51202 // MONOMERDQC-46883	ZM00001D006928 // ZM00001D007892 // ZM00001D020290 // ZM00001D023694 // ZM00001D040670 // ZM00001D037554 // ZM00001D040721 // ZM00001D009779 // ZM00001D009212	Respiration	NAD // CO-A // 2-KETO-ISOVALERATE	RXN-7719 // 2.3.1.168-RXN // 1.2.4.4-RXN
CHLOROPHYLL-SYN	HYDROGEN-PEROXIDE // UROPORPHYRINOGEN-III // ADP // Pi // ATP // PROTOPORPHYRIN_IX // MG+2 // ADENOSYL-HOMO-CYS // S-ADENOSYLMETHIONINE // MG-PROTOPORPHYRIN // CARBON-DIOXIDE // PROTOPORPHYRINOGEN // COPROPORPHYRINOGEN_III // 131-OXO-MAGNESIUM-PROTOPORPHYRIN-IX-13-M // WATER // 13-HYDROXY-MAGNESIUM-PROTOPORP // MG-PROTOPORPHYRIN-MONOMETHYL-ESTER // OXYGEN-MOLECULE // Light // PROTON // NADPH // DIVINYL-PROTOCHLOROPHYLLIDE-A // NADP // DIVINYLCHLOROPHYLLIDE-A	MONOMERDQC-46463 // MONOMERDQC-51631 // MONOMERDQC-54347 // GDQC-108880-MONOMER // MONOMERDQC-51113 // MONOMERDQC-52522 // ZM00001D011387-MONOMER // MONOMERDQC-55783 // ZM00001D044321-MONOMER // GDQC-114541-MONOMER // GDQC-107317-MONOMER // MONOMERDQC-5752 // MONOMERDQC-43093 // ZM00001D001850-MONOMER // MONOMERDQC-50450 // MONOMERDQC-51400 // ZM00001D036046-MONOMER // GDQC-112611-MONOMER // MONOMERDQC-42809 // MONOMERDQC-48388 // ZM00001D029027-MONOMER // ZM00001D040463-MONOMER // ZM00001D008230-MONOMER	ZM00001D008203 // ZM00001D040539 // ZM00001D003214 // GDQC-108880 // ZM00001D011386 // ZM00001D028083 // ZM00001D011387 // ZM00001D029074 // ZM00001D044321 // GDQC-114541 // GDQC-107317 // GDQC-5744 // ZM00001D023536 // ZM00001D001850 // ZM00001D013013 // ZM00001D026603 // ZM00001D036046 // GDQC-112611 // ZM00001D026277 // ZM00001D002358 // ZM00001D029027 // ZM00001D040463 // ZM00001D008230	Chlorophyllide-a-Biosynthesis	NADPH // Light // OXYGEN-MOLECULE // S-ADENOSYLMETHIONINE // ATP // MG+2 // UROPORPHYRINOGEN-III	RXN-5285 // RXN-5282 // RXN-5283 // RXN-5284 // RXN0-1461 // RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN // RXN1F-20 // UROGENDECARBOX-RXN // PROTOPORGENOXI-RXN
PWY-6164	DEHYDROQUINATE // Pi // 3-DEOXY-D-ARABINO-HEPTULOSONATE-7-P // PHOSPHO-ENOL-PYRUVATE // ERYTHROSE-4P // WATER	MONOMERDQC-54969 // MONOMERDQC-56347 // MONOMERDQC-43188 // ZM00001D031141-MONOMER // MONOMERDQC-43643 // ZM00001D020059-MONOMER // ZM00001D030369-MONOMER // MONOMERDQC-55079 // ZM00001D017655-MONOMER // MONOMERDQC-57195 // ZM00001D037739-MONOMER // MONOMERDQC-58582 // ZM00001D031139-MONOMER // ZM00001D044716-MONOMER	ZM00001D006242 // ZM00001D022622 // ZM00001D013618 // ZM00001D031141 // ZM00001D006900 // ZM00001D020059 // ZM00001D030369 // ZM00001D029391 // ZM00001D017655 // ZM00001D052797 // ZM00001D037739 // ZM00001D022181 // ZM00001D031139 // ZM00001D044716	3-Dehydroquinate-Biosynthesis	PHOSPHO-ENOL-PYRUVATE // ERYTHROSE-4P // WATER	DAHPSYN-RXN // 3-DEHYDROQUINATE-SYNTHASE-RXN
PWY-6352	CMP // CDPDIACYLGLYCEROL // MYO-INOSITOL // 1-PHOSPHATIDYL-1D-MYO-INOSITOL-34-BISPH // CPD-1108 // PHOSPHATIDYLINOSITOL-345-TRIPHOSPHATE // PHOSPHATIDYL-MYO-INOSITOL-45-BISPHOSPHA // L-1-phosphatidyl-inositols // PROTON // ADP // ATP // Pi // CPD-177 // 1-PHOSPHATIDYL-1D-MYO-INOSITOL-35-BISPH // WATER	ZM00001D008265-MONOMER // ZM00001D040398-MONOMER // MONOMERDQC-47330 // ZM00001D005966-MONOMER // ZM00001D026559-MONOMER // ZM00001D037056-MONOMER // ZM00001D007520-MONOMER // MONOMERDQC-54462 // ZM00001D046016-MONOMER // ZM00001D004249-MONOMER // ZM00001D030412-MONOMER // ZM00001D020828-MONOMER // ZM00001D045757-MONOMER // MONOMERDQC-59518 // MONOMERDQC-45958 // MONOMERDQC-47016 // MONOMERDQC-44159 // ZM00001D007082-MONOMER // ZM00001D028512-MONOMER // MONOMERDQC-46253 // MONOMERDQC-47201 // MONOMERDQC-47661 // MONOMERDQC-50588 // MONOMERDQC-52075 // MONOMERDQC-52380 // ZM00001D020697-MONOMER // MONOMERDQC-53315 // ZM00001D042153-MONOMER // MONOMERDQC-55571 // MONOMERDQC-56224 // ZM00001D050008-MONOMER // ZM00001D032539-MONOMER // ZM00001D031777-MONOMER // MONOMERDQC-57485 // ZM00001D033645-MONOMER // MONOMERDQC-59830 // ZM00001D005849-MONOMER // ZM00001D045910-MONOMER // MONOMERDQC-60144 // MONOMERDQC-60271 // ZM00001D023270-MONOMER // ZM00001D040671-MONOMER // MONOMERDQC-57209 // ZM00001D038540-MONOMER // ZM00001D048077-MONOMER // MONOMERDQC-44544 // MONOMERDQC-47375 // MONOMERDQC-48639 // MONOMERDQC-52071 // MONOMERDQC-55331 // ZM00001D022291-MONOMER // MONOMERDQC-56612 // MONOMERDQC-56944 // MONOMERDQC-57570 // MONOMERDQC-58626 // ZM00001D001957-MONOMER // MONOMERDQC-44122 // MONOMERDQC-44206 // ZM00001D013924-MONOMER // MONOMERDQC-45094 // ZM00001D018768-MONOMER // ZM00001D003169-MONOMER // MONOMERDQC-47778 // ZM00001D042595-MONOMER // MONOMERDQC-50745 // ZM00001D033300-MONOMER // MONOMERDQC-59516 // ZM00001D013770-MONOMER // MONOMERDQC-60780	ZM00001D008265 // ZM00001D040398 // ZM00001D049076 // ZM00001D005966 // ZM00001D026559 // ZM00001D037056 // ZM00001D007520 // ZM00001D013442 // ZM00001D046016 // ZM00001D004249 // ZM00001D030412 // ZM00001D020828 // ZM00001D045757 // ZM00001D009741 // ZM00001D046972 // ZM00001D036631 // ZM00001D029979 // ZM00001D007082 // ZM00001D028512 // ZM00001D029211 // ZM00001D029209 // ZM00001D047457 // ZM00001D004955 // ZM00001D021407 // ZM00001D000053 // ZM00001D020697 // ZM00001D008509 // ZM00001D042153 // ZM00001D013920 // ZM00001D014911 // ZM00001D050008 // ZM00001D032539 // ZM00001D031777 // ZM00001D022391 // ZM00001D033645 // ZM00001D033670 // ZM00001D005849 // ZM00001D045910 // ZM00001D051490 // ZM00001D013469 // ZM00001D023270 // ZM00001D040671 // ZM00001D050219 // ZM00001D038540 // ZM00001D048077 // ZM00001D050089 // ZM00001D032238 // ZM00001D049734 // ZM00001D029443 // ZM00001D020414 // ZM00001D022291 // ZM00001D042662 // ZM00001D035004 // ZM00001D037332 // ZM00001D002940 // ZM00001D001957 // ZM00001D045041 // ZM00001D035030 // ZM00001D013924 // ZM00001D053935 // ZM00001D018768 // ZM00001D003169 // ZM00001D027916 // ZM00001D042595 // ZM00001D037099 // ZM00001D033300 // ZM00001D018303 // ZM00001D013770 // ZM00001D048258	Phospholipid-Biosynthesis	WATER // ATP // CDPDIACYLGLYCEROL // MYO-INOSITOL	RXN-10938 // 2.7.1.150-RXN // 1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN // 2.7.1.153-RXN // 2.7.1.68-RXN // 2.7.1.154-RXN // 2.7.8.11-RXN // 1-PHOSPHATIDYLINOSITOL-KINASE-RXN
PWY-6890	ADP // AMINO-HYDROXYMETHYL-METHYLPYRIMIDINE-PP // ATP // PROTON // CARBON-MONOXIDE // FORMATE // MET // CH33ADO // AMINO-HYDROXYMETHYL-METHYL-PYR-P // S-ADENOSYLMETHIONINE // 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE	GDQC-110335-MONOMER // MONOMERDQC-56947	GDQC-110335 // ZM00001D033383	HMP-PP-Biosynthesis	S-ADENOSYLMETHIONINE // 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE // ATP	PYRIMSYN1-RXN // PYRIMSYN3-RXN
PWY-6543	GLT // CHORISMATE // GLN // PYRUVATE // P-AMINO-BENZOATE // PROTON // 4-AMINO-4-DEOXYCHORISMATE	ZM00001D036484-MONOMER // MONOMERDQC-43577 // ZM00001D016006-MONOMER	ZM00001D036484 // ZM00001D039264 // ZM00001D016006	Folate-Biosynthesis	CHORISMATE // GLN	ADCLY-RXN // PABASYN-RXN
PWY-6535	GLT // 4-AMINO-BUTYRATE // 2-KETOGLUTARATE // PROTON // NADH // SUC // SUCC-S-ALD // WATER // NAD	MONOMERDQC-44886 // MONOMERDQC-45028 // MONOMERDQC-46604 // MONOMERDQC-46677 // MONOMERDQC-46874 // MONOMERDQC-50439 // ZM00001D004764-MONOMER // ZM00001D008986-MONOMER // ZM00001D019161-MONOMER // MONOMERDQC-54563 // ZM00001D052097-MONOMER // MONOMERDQC-56020 // ZM00001D041208-MONOMER // ZM00001D000389-MONOMER // ZM00001D040968-MONOMER // ZM00001D004831-MONOMER // MONOMERDQC-46521 // MONOMERDQC-50078 // MONOMERDQC-57290 // MONOMERDQC-59733	ZM00001D049380 // ZM00001D026293 // ZM00001D002326 // ZM00001D037507 // ZM00001D015444 // ZM00001D015445 // ZM00001D004764 // ZM00001D008986 // ZM00001D019161 // ZM00001D051521 // ZM00001D052097 // ZM00001D004965 // ZM00001D041208 // ZM00001D000389 // ZM00001D040968 // ZM00001D004831 // ZM00001D015404 // ZM00001D015405 // ZM00001D015406 // ZM00001D053776	4-Aminobutyraye-Degradation	WATER // NAD // 4-AMINO-BUTYRATE // 2-KETOGLUTARATE	SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // GABATRANSAM-RXN
PWY-6473	L-ALPHA-ALANINE // 4-AMINO-BUTYRATE // PYRUVATE // PROTON // NADH // SUC // SUCC-S-ALD // WATER // NAD	MONOMERDQC-44886 // MONOMERDQC-45028 // MONOMERDQC-46604 // MONOMERDQC-46677 // MONOMERDQC-46874 // MONOMERDQC-50439 // ZM00001D004764-MONOMER // ZM00001D008986-MONOMER // ZM00001D019161-MONOMER // MONOMERDQC-54563 // ZM00001D052097-MONOMER // MONOMERDQC-56020 // ZM00001D041208-MONOMER // ZM00001D000389-MONOMER // ZM00001D040968-MONOMER // ZM00001D004831-MONOMER // MONOMERDQC-46521 // MONOMERDQC-50078 // MONOMERDQC-57290 // MONOMERDQC-59733	ZM00001D049380 // ZM00001D026293 // ZM00001D002326 // ZM00001D037507 // ZM00001D015444 // ZM00001D015445 // ZM00001D004764 // ZM00001D008986 // ZM00001D019161 // ZM00001D051521 // ZM00001D052097 // ZM00001D004965 // ZM00001D041208 // ZM00001D000389 // ZM00001D040968 // ZM00001D004831 // ZM00001D015404 // ZM00001D015405 // ZM00001D015406 // ZM00001D053776	4-Aminobutyraye-Degradation	WATER // NAD // 4-AMINO-BUTYRATE // PYRUVATE	SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // RXN-6902
PWY-5886	P-HYDROXY-PHENYLPYRUVATE // GLT // TYR // 2-KETOGLUTARATE	ZM00001D039629-MONOMER // MONOMERDQC-60280 // ZM00001D039628-MONOMER	ZM00001D039629 // ZM00001D008744 // ZM00001D039628	AROMATIC-COMPOUNDS-BIOSYN	TYR // 2-KETOGLUTARATE	TYROSINE-AMINOTRANSFERASE-RXN
PWY-6121	PRPP // PPI // 5-P-BETA-D-RIBOSYL-AMINE // GLY // THF-GLU-N // FORMYL-THF-GLU-N // 5-PHOSPHO-RIBOSYL-GLYCINEAMIDE // GLT // 5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE // GLN // WATER // 5-PHOSPHORIBOSYL-5-AMINOIMIDAZOLE // Pi // ADP // PROTON // ATP // 5-PHOSPHORIBOSYL-N-FORMYLGLYCINEAMIDINE	ZM00001D010197-MONOMER // ZM00001D042673-MONOMER // ZM00001D038332-MONOMER // MONOMERDQC-57403 // MONOMERDQC-58452 // ZM00001D039584-MONOMER // MONOMERDQC-58856 // MONOMERDQC-48528 // MONOMERDQC-54235 // ZM00001D052938-MONOMER // ZM00001D010376-MONOMER // MONOMERDQC-54595 // ZM00001D007656-MONOMER	ZM00001D010197 // ZM00001D042673 // ZM00001D038332 // ZM00001D009411 // ZM00001D038859 // ZM00001D039584 // ZM00001D003658 // ZM00001D033775 // ZM00001D002003 // ZM00001D052938 // ZM00001D010376 // ZM00001D037770 // ZM00001D007656	AIR-Biosynthesis	ATP // GLN // WATER // FORMYL-THF-GLU-N // GLY // PRPP	AIRS-RXN // FGAMSYN-RXN // GART-RXN // GLYRIBONUCSYN-RXN // PRPPAMIDOTRANS-RXN
